trial,n_classes,c_start,c_end,radius_closing,radius_opening,dice,hausdorff,score
96,3,0,0,5,1,0.4195147355597095,30.01666203960727,0.3894980735201022
95,5,0,1,3,2,0.40242196735216884,30.903074280724887,0.371518893071444
59,5,0,1,5,2,0.36735933293939993,47.07440918375928,0.32028492375564066
119,4,0,1,5,2,0.3044020552866691,48.12483766206386,0.2562772176246052
52,4,0,1,5,1,0.2994691391571176,48.12483766206386,0.2513443014950537
102,4,1,1,4,2,0.1863636742553706,48.12483766206386,0.13823883659330674
117,3,0,1,1,2,0.07725201590160964,48.12483766206386,0.029127178239545783
17,5,0,2,3,1,0.06840588480012103,48.12483766206386,0.020281047138057166
84,3,0,1,2,2,0.060535465878342645,48.12483766206386,0.012410628216278786
132,3,0,1,2,1,0.05985817142539438,48.12483766206386,0.011733333763330522
19,4,0,2,2,2,0.05584002094587418,48.12483766206386,0.007715183283810323
80,5,2,2,5,2,0.05455842348367491,48.12483766206386,0.006433585821611049
57,5,2,2,5,1,0.05446337780790682,48.12483766206386,0.006338540145842959
98,3,0,1,3,2,0.05389479204533942,48.12483766206386,0.005769954383275558
64,4,0,2,3,2,0.05085942965634061,48.12483766206386,0.0027345919942767527
107,5,1,2,4,1,0.04771476157204512,48.12483766206386,-0.0004100760900187378
68,5,1,2,4,1,0.04771476157204512,48.12483766206386,-0.0004100760900187378
86,4,2,2,5,1,0.04654831047445094,48.12483766206386,-0.0015765271876129194
81,4,2,2,5,1,0.04654831047445094,48.12483766206386,-0.0015765271876129194
20,5,0,3,3,1,0.04517020991790686,48.12483766206386,-0.0029546277441570012
56,5,0,3,3,1,0.04517020991790686,48.12483766206386,-0.0029546277441570012
136,5,2,3,4,2,0.04417930046672679,48.12483766206386,-0.003945537195337072
55,5,1,3,4,1,0.04414613191705393,48.12483766206386,-0.003978705745009928
165,5,1,4,4,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
21,3,1,2,4,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
115,4,1,3,4,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
78,5,0,4,1,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
77,3,0,2,5,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
0,5,0,4,2,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
