trial,window_size,k,polarity,radius_closing,radius_opening,dice,hausdorff,score
280,37,0.09219404990785167,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
279,37,0.09005524425596259,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
278,37,0.09485651420360437,low,2,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
251,37,0.08981616409823043,low,3,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
250,37,0.09305999011607512,low,3,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
249,35,0.0929359131659763,low,3,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
224,47,0.1580804891285881,low,5,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
222,47,0.1633131264246135,low,5,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
221,49,0.15999178544439804,low,5,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
220,47,0.1531617562217632,low,3,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
219,43,0.15780200362895153,low,4,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
218,43,0.16386055259941087,low,4,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
217,33,0.08895701211152943,low,3,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
216,43,0.03769699836024218,low,4,2,0.04354797856982575,48.12483766206386,-0.004576859092238109
215,29,0.15601975968530107,low,4,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
214,29,0.16397111423094457,low,4,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
213,33,0.15615928322909006,low,4,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
212,33,0.03981715796630672,low,4,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
211,33,0.1619404374438401,low,5,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
210,33,0.03850469677780771,low,5,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
209,33,0.037171017597638314,low,5,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
208,9,0.04045007790967306,low,4,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
207,7,0.04083790194692735,low,4,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
206,9,0.15936194389706113,low,4,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
205,33,0.04035449282484516,low,5,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
204,33,0.0835225071867978,low,5,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
203,33,0.0791847865107049,low,5,1,0.04354797856982575,48.12483766206386,-0.004576859092238109
