trial,num_iter,smoothing,lambda1,lambda2,t_init,radius_closing,dice,hausdorff,score
233,22,1,4,1,26.01576281776251,1,0.9500602368558634,26.40075756488817,0.9236594792909752
222,21,1,4,1,20.5873359864247,1,0.9500306769377599,26.40075756488817,0.9236299193728718
229,21,1,4,1,26.24194324631281,1,0.9499886337804047,26.40075756488817,0.9235878762155165
170,22,1,4,1,20.737767649369804,1,0.9499840858454963,26.40075756488817,0.9235833282806082
164,30,1,4,1,36.75581513599623,1,0.9499352316887485,26.40075756488817,0.9235344741238604
189,22,1,4,1,27.988159516038536,1,0.9499113676651061,26.40075756488817,0.923510610100218
237,22,1,4,1,25.522145555362414,1,0.9498966120566248,26.40075756488817,0.9234958544917367
82,19,1,4,2,42.350671280772396,1,0.9498943622817747,26.40075756488817,0.9234936047168866
284,24,1,4,2,25.333515076461737,1,0.949871007917445,26.40075756488817,0.9234702503525569
220,30,1,4,2,52.714886136687575,1,0.9498543441037159,26.40075756488817,0.9234535865388278
297,24,1,4,2,26.02680136351361,1,0.9498476525142895,26.40075756488817,0.9234468949494014
187,21,1,4,1,29.289107275769513,1,0.9498408367439746,26.40075756488817,0.9234400791790864
246,29,1,4,1,25.297609804818347,1,0.9498408367439746,26.40075756488817,0.9234400791790864
218,30,1,4,1,20.855499533995488,1,0.9498352085464258,26.40075756488817,0.9234344509815376
167,30,1,4,1,23.305161035565902,1,0.9498250238603827,26.40075756488817,0.9234242662954946
201,30,1,4,2,26.05257540524482,1,0.9497664071190212,26.40075756488817,0.923365649554133
183,20,1,4,2,27.407457729948042,1,0.9496963089861392,26.40075756488817,0.9232955514212511
194,22,1,4,1,20.764276537050762,1,0.949629494931127,26.40075756488817,0.9232287373662389
190,23,1,4,1,20.16572425518595,1,0.949629494931127,26.40075756488817,0.9232287373662389
289,24,1,4,2,25.5549803274134,1,0.9496060187864488,26.40075756488817,0.9232052612215607
350,25,1,4,2,23.905186346801926,1,0.9496050728668373,26.40075756488817,0.9232043153019491
180,30,1,4,1,20.46462823582495,1,0.949603327953445,26.40075756488817,0.9232025703885569
184,20,1,4,2,29.294582815664725,1,0.9496005874368617,26.40075756488817,0.9231998298719736
