trial,t_low,t_high,radius,dice,hausdorff,score
397,1.7641549288670086,73.19665193358628,2,0.9703761580533542,26.0,0.9443761580533542
399,1.914558546490989,73.11371925728758,2,0.9703761580533542,26.0,0.9443761580533542
402,1.9180404665525985,73.7367435900437,2,0.9703761580533542,26.0,0.9443761580533542
410,1.954435425601623,73.86587605412562,2,0.9703761580533542,26.0,0.9443761580533542
406,1.9242285882872014,73.38178838964137,2,0.9703761580533542,26.0,0.9443761580533542
408,1.9118333934084797,73.29385475302502,2,0.9703761580533542,26.0,0.9443761580533542
412,1.8672007501455983,73.8081235147595,2,0.9703761580533542,26.0,0.9443761580533542
415,1.9134790978183127,73.5597834861814,2,0.9703761580533542,26.0,0.9443761580533542
416,1.711046276397477,73.59970057196051,2,0.9703761580533542,26.0,0.9443761580533542
375,1.8278637860523828,73.37419948900231,2,0.9703761580533542,26.0,0.9443761580533542
418,1.898780843683811,73.25733431067354,2,0.9703761580533542,26.0,0.9443761580533542
421,1.9884772339888663,73.7236124571699,2,0.9703761580533542,26.0,0.9443761580533542
422,1.9544098320007404,73.50186819321219,2,0.9703761580533542,26.0,0.9443761580533542
387,1.896112948031202,73.13321772152825,2,0.9703761580533542,26.0,0.9443761580533542
400,1.8640340923462422,73.31838261538198,2,0.9703761580533542,26.0,0.9443761580533542
491,2.7383746692272304,74.84548832577653,2,0.9694139726088608,26.0,0.9434139726088607
438,2.2717886654825445,74.49881267711423,2,0.9694139726088608,26.0,0.9434139726088607
391,1.9444262835189225,72.97531425469538,2,0.9686339433531702,26.0,0.9426339433531702
367,1.9868714211693443,72.67665659982306,2,0.9686339433531702,26.0,0.9426339433531702
371,1.8901177785940437,72.18602240917893,2,0.9686339433531702,26.0,0.9426339433531702
378,1.837108095587719,72.52781529472294,2,0.9686339433531702,26.0,0.9426339433531702
380,1.9110432857878288,72.01822191817175,2,0.9686339433531702,26.0,0.9426339433531702
381,1.9055050209347866,72.29577059143413,2,0.9686339433531702,26.0,0.9426339433531702
383,1.7548120307656851,72.22899955793524,2,0.9686339433531702,26.0,0.9426339433531702
